EventCategory,CatalogueItemName,UnitCost,UnitPrice,CatalogueType,ContactFirstName
Christmas event,Dragon Noodles,41,46,Food,Emma
New Year,Golden Dumplings,23,28,Food,Liam
Birthday,Panda Delight,35,40,Food,Olivia
Trade Shows,Spring Roll Haven,49,54,Food,Noah
Anniversaries,Wonton Wonderland,26,31,Food,Ava
Weddings,Dynasty Dim Sum,44,49,Food,Sophia
Educational Conferences,Red Lantern Rice Bowl,30,35,Food,Jackson
Concerts,Bamboo Bites,28,33,Food,Aiden
Festivals,Szechuan Spice Shack,46,51,Food,Lucas
Charity Events,Sweet and Sour Symphony,31,36,Food,Mia
Christmas event,Ming Dynasty Morsels,27,32,Food,Ethan
New Year,Great Wall Gourmet,42,47,Food,Isabella
Birthday,Peking Duck Palace,22,27,Food,Caden
Trade Shows,Lotus Blossom Banquet,36,41,Food,Amelia
Anniversaries,Fortune Cookie Cottage,45,50,Food,Harper
Weddings,Jade Garden Feast,21,26,Food,Elijah
Educational Conferences,Chopstick Charms,29,34,Food,Abigail
Concerts,Silk Road Sizzlers,40,45,Food,Benjamin
Festivals,Imperial Wok Express,34,39,Food,Emily
Charity Events,Lotus Leaf Lounge,48,53,Food,Oliver
Christmas event,Oriental Orchid Eats,25,30,Food,Emma
New Year,Forbidden City Flavors,38,43,Food,Liam
Birthday,Noodle Nirvana,43,48,Food,Olivia
Trade Shows,Zen Zest Cuisine,37,42,Food,Noah
Anniversaries,Kung Pao Paradise,24,29,Food,Ava
Weddings,Lotus Petal Platter,32,37,Food,Sophia
Educational Conferences,Dragonfire Dumplings,50,55,Food,Jackson
Concerts,Dynasty Delicacies,33,38,Food,Aiden
Festivals,Pearl of the Orient,39,44,Food,Lucas
Charity Events,Bamboo Grove Banquet,47,52,Food,Mia
Christmas event,Lucky Lotus Lounge,50,55,Food,Ethan
New Year,Shanghai Street Stir-Fry,23,28,Food,Isabella
Birthday,Mandarin Marvels,36,41,Food,Caden
Trade Shows,Wok Star Wonderland,45,50,Food,Amelia
Anniversaries,Jasmine Joy Kitchen,22,27,Food,Harper
Weddings,Moonlit Noodle House,27,32,Food,Elijah
Educational Conferences,Harmonious Hot Pot,44,49,Food,Abigail
Concerts,Panda Expressions,48,53,Food,Benjamin
Festivals,Sizzling Sichuan,32,37,Food,Emily
Charity Events,Red Pepper Revelry,41,46,Food,Oliver
Christmas event,Sweet Plum Palace,30,35,Food,Emma
New Year,Golden Wok Gardens,28,33,Food,Liam
Birthday,Szechuan Silk Threads,49,54,Food,Olivia
Trade Shows,Chopstick Charmers,46,51,Food,Noah
Anniversaries,Temple of Tofu,26,31,Food,Ava
